Emotion,Text
fear,Dear FoxandFriends kids family loves sue
joy,  knew that mention certain type phone twitter gets spammed completions win one
joy,Enjoying friendly talk heavy rain
disgust,conversation   simply EPIC
neutral,
fear,brave Remember lack ability forward spite fear R Costa
joy,AWESOME RT   Im #caregiver level 5  FEELS AMAZING Thank   letting Help You :)
neutral,know shake hands  tell 
sadness,  creations thin people Im deep here :(
joy,wanted good eat Yummy yummy yummy settled water
joy,rousing weekend fundraising war memorial #sarcastictweet
surprise,flights / days brother time year time dye hair blond feign schizophrenia
fear,Dont release inside syndrome
sadness,Oh  poor Alan  sister left parents died year 
joy,interested queen Norway paying school visit Thursday Im gonna look like hardcore student library
fear,taken dissection room found 10 dead human bodies
surprise,secretly placed watch shelf brothers room seen eventually #merrychristmas 
fear,lt3 RT   afraid tomorrow seen yesterday love today #less
surprise,yay John home WAY early
joy,love fact spending weekend playing basketball studying exams #ineedabreak
joy,Day 20: Thankful baby boy Beckett today celebrates 20th month Earth brings day
anger,live sister angers especially thinks apt clean enough
sadness,Python friend explaining wrote CMS convince dump crappy host learn Django
joy,pleased came found fighting fit  wing crutch support crooked leg 
joy,looking forward real estate class starts today Like all interest it Long lectures Boring hell
joy,  lol lady insane spit bookbag class period
disgust,fact   wedding makes headlines provides pathetic excuse celebrity money makes sick
neutral,Yeah 
sadness,Getting happy Ive mention spam
sadness,  WISH taking Drivers Ed til summer :(
fear,  threatened burst bathroom pics shit #Lol
joy,day work tomorrow
surprise,Ok ok guess   props Got line breaking dawn
fear,Artest Bynum Howard thing mind happens kobe win 3 rings interesting
anger,knows  come later 
disgust,  id haha cause real beautiful girls days fake fuck
joy,Maths questions science tomorrow started
fear,Les meilleurs Rick Roll restent à venir 
joy,senior yearnow comes hard classes
sadness,listen lately mayday parade
fear,Factor Coming Yay
joy,Ugh piano later Id die havent practiced
joy,  Hey Delivery Boys =) Giving daily dose #love ♥
sadness,State certainty state confusion like that
sadness,course   Im sorry pajamas work 
shame,getting increasingly embarrassed Mattie sat waiting ONeill 
anger,
surprise,Looking forward seeing reaction beautiful gf ask #happy
fear,  r connected amp animal goes peacefully 2 slaughter know awaits amp #govegan #ows
sadness,rid phone bring misery  
fear,walking home place southside live Northside followed headed direct route
sadness,boyfriend stand mother himself
fear,Saiu nos cinemas americanos um remake de Thing filme que na minha infância fez ficar noites sem dormir
neutral,
fear,people like level life
sadness,Looks like preminition 2 months ago coming true
joy,nap morning grand lunch scour kitchen open grabs Thanksgiving
anger,Biting tongue fitting end bullshit night
fear,People waiting trains watched horror violence spread Hall 
fear,“  live life halflived Spanish Proverb”
neutral,failing 
joy,plans weekend sleeping taking lot day quil bed night quill
joy,  coming home scent hot mince pies fresh oven  sneaking notices
fear,ft   2nd Leak Dropping Week
fear,person mentioned suspicion pregnancy
joy,hungry lunch money :/
fear,Joke joke joke flame me work animal rights charity
joy,add Im excited starting work Monday longI cant wait sign RN again
joy,Remember little needed happy life ~ Marcus Aurelius
joy,guidance councellors Germany Im sitting sending offial records colleges
surprise,dad ended lake house
joy,Come  glad  expecting 
joy,pass exam
fear,prayer focuses world Like believe 1 John 44He greater world
anger,playing indoorhockey older man frequently intentionally plays ball field opinion childish play fun only
fear,night lying bed awake eyes closed saw figures terrible faces black frocks bending touching me opened eyes them feeling somebody room terrible turned light able sleep
joy,Bed hot water bottle stomach 3 uni essays Thats day sorted
joy,love Christmas time
joy,Dash awake 17 minutes gone timeout going quotthosequot days
joy,Time home write life away
fear, s stuck   cried dismay 
sadness,Omg Funny Life Works Out :(
neutral,Yes 
sadness,depressed person cry great deal  selfpity lack interest outside world enjoyment everyday life  food 
anger, Hurry  ’ late school 
surprise,informed JayZ 42 years old totally makes 1000 times sexier
disgust,like know language body language facial expressions im bad hiding
disgust,broads posted video kicking pregnant lady downtown toronto me #noshame #fuckemall
joy,come again/As glorious king reign/I w face/Freely ransomed grace #waitingnexpectation
joy,  nice archenemy campaign pretty sweet too  luv   sales :) 
surprise,evening cup coffee
sadness,Hogs playin MS Valley State Id let slide Mike Anderson Heres 35 months Modern Family time
sadness,like good Friday night #someonegivemeattention
anger,planned travel distance 20 kilometres bike planned working hospital went house found friend taken bike consent
joy,finished project ive working 1   homework 
joy,find whispering quotlil saint nick Lil saint nickquot today #sanitystruggles
joy,summer job Sweden boyfriend came meet birthday
joy,  lol yeh ok recovering cold time day work #sarcasm
neutral,sure proper care video 
fear,House Representatives went tax cuts middle class threat bio terrorism course
sadness,grandmother died suddenly summer
anger,feel anger \parent\ beating punishing child street Recently witness similar case
fear,agitated 
joy,man introduced agent look excited obliging friend 
joy,girlfriend like daughter me studying station year arrival joyous one
surprise, flabbergasted 
sadness,day turning :(:(:SS#Bored :(
neutral,
anger,Jesus bus late want kill myself
joy,Monday morning couple relaxing days hate it things worse Im stuck traffic
surprise,    lol day life ryerson student haha funny walking some1 town
surprise,Came home found family got Christmas tree
joy,800 pics phone brings lot memories
sadness,miss HCC NoteOrious need stop listening high school recordings
anger,Shut  Billy  BILLY 
joy,sitting variety living hell #sarcasm
surprise,Weather bro Sam knows Im actually going c tomorrow
joy,// end day cook myself Id cook people
disgust,couldnt watch scene Christmas smh
joy,  finishing work weekend hour early gives bring weekend
joy,legs sooo sore right nowguess Ill ice bathing tomorrow :)
sadness,Snell lol RT:   ask   friend play *sideeye*
neutral,
joy,12*8*10 :) s Day Remember lt3 Tears :)
sadness,Feeling oddly bereft desolate  besieged Dolly s incessant chatter  Luce pleased hotel 
anger,Wifes comment: Congress lawmakers allowed insider trade anyway
joy,Getting ARI training couple days
joy,worried m delighted re home 
neutral,High 
anger,Im sure Olympics going great London necessary undertake rail engineering works
fear,spent night friend secondary school told horror stories suddenly heard uncanny noises terribly frightened
joy,locked time moment reversing fastforward life appears nice alternative
sadness,friend got pregnant anf failed year university boyfriend refused responsibility ended court
fear,close relatives life danger
sadness,Observing choir rehursal want home
joy,Bout test with finish paper
fear,“  afraid tomorrow seen yesterday love today #less”
sadness,  games hurt worst
joy,day LORD made let rejoice glad it  Ps118:24 #Advent
joy,Obviously  staff delighted appointment new Director sad Tom gone proposed reorganisation occupy minds staff 
neutral,Parker 
joy,Basketball practice gonna HE double L Monday
fear,quotWhen children wed play streets dipped fateWish know meaning ofquot #OneRepublic
sadness,lost 2 followers today Maybe saying hungry
surprise,chilling Saudi crewhad idea food cooking kitchen
joy,day happiest day received phone Eves Weekly inform prize India Essay competition prize undergraduate post graduates participated judged eminent judges political scientists
surprise,happy quit smoking cigarette step 1
disgust,ok fuck girl getting detail shit
sadness,wish emails telling new bags cant afford right
joy,Broke perfume bottle spilled carpet Letting room air out Sleeping living room tonight
joy,bagels starbucks = tummy growling entire class
surprise,day work :) spending wrapping Christmas presents   gonna love
joy,Softball conditioning starts tomorrow going die
sadness,’ disappointed able best friend 
anger,shits bout real b ri matt
sadness,episode Glee season
joy,friends breakfast restaurant spontaneous lots fun
surprise,sister came home Thanksgiving :)
disgust,hate mariah careys christmas music
joy,wave cheerful elation swept separated pound note Yanto s fivers 
joy,  AMEN amp tell ANYTHING anxious Grace u spiritual maturity amp set u path
anger,weekend group people everybody felt irritated night music stop time breakfast boyfriend ran away agree him felt angry
sadness,today closet consist 100 articles clothing Goodbye hoover cheerleading attire
joy,Succeeding helping others
joy,thanks helping  encouraged best  able pass 
fear,Travelling coach narrow wet road
joy,De nazis zijn nog zit hier een vent met een gigantisch hakenkruis op zn hand
fear,rememered projecting future #Guilt comes pain blame Primary pain creates #depression
sadness,time phone rang got text
joy,UNDERSTAND CUM ACCEPT STRUGGLE THEYRE GOIN COMES MORNING
joy,But Im happy amp loving it Im going enjoy reading single book TIME
fear,Feel confinement able walk streets fear arrested
fear,“  afraid tomorrow seen yesterday love today #less”
joy,excited smile face told Ingrid girl enjoying 
fear,heard lion roar time
joy,bb recognise work quotfuckquot spelt manner
shame,mortified  nt appear presentation ceremony nt receive medal memento occasion 
anger,PROBLEM TAKES 45 MINUTES DO ANSWER USUALLY ZERO #capslocknecessary
fear,boyfriend beaten time trembled somebody knocked door heard steps coming nearer
surprise,Zo voor vandaag klaar met een begin gemaakt:P nu zorgen dat hij voor volgende week af is
surprise,  day(: love you(: #mybestfriendforalways
surprise,En toen moest mathijs nog een
joy,Light 1 candle 1 bright candle joy brings joy lt3 comes comes 3rd Sunday Advent 2 weeks til Christmas
sadness,style teasing doesnt translate internet =/
sadness,Nice old friend camp come visit Missing blue group
anger,wrote assignment given marks friend previously discussed assignment
fear,freak cockroach flew choir practice #cockroach #anything cockroach NOT
fear,Introducing tutorial year University
surprise,Pretty sure gave grandmother heart attack
sadness,kitty cuddle morning
joy,think   guess  look lot like  Oh  ’ got Richard ’ eyes 
joy,friends bridal shower special share new brides
sadness,regarded wife Beirut hostage Jackie Mann  dear friend heartbroken died lung cancer November 30 
joy,Basketball practice hours
sadness,Bored watching tv need exciting life hate sitting house alone :(
joy,watching toy story 2 writing presentation notes
fear,fear father (parents) pregnant afraid delivery birth stiiborn baby
joy,afraid excitement thoughts find 
anger,idea transform anger someones helplessness positive
neutral,need 
anger,friend told education discussion friend failed 7th grade angry education argue
surprise,Oh Mise jour de linterface twitter sur
joy,Soroad trip time
anger,  Im innocent   found elses stuff  cant prove  went  cant prove stuff 
fear,Yet unable effect change negatively affects usWhy operate  #UseITdontUseIT
fear,makes real U fear Focus feeling fearful  attract itCheryl Janecky #loa
joy,Today wouldve 4th wedding anniversary Instead lamenting Im celebrating birth new family baby today
fear,nervous laugh topical sally provided Zola trial 
joy,niece calling sing Happy Birthday #love 
sadness,Poor Josh drove way home :(
anger,suddenly infuriated thought believed Germans England 
anger,hear  Love Tender  time  think Im going crazy 
joy,day got letter UGC informing awarded junior research fellowship
joy,delight saw bounds gardens allotted sister self canal fish pony ride animals different kinds
fear,dismayed  circumstances  Gabriel ride moor street company young monk 
sadness,Ill ready Starscom end week   know 
surprise,hantuuuu RT   Wosssh apakh itu☺RT   nampak ada yang baru warna item di garasi *tutup mata dulu*
surprise,Weekend top Surprise inkopen zijn ook binnen Nu lekker slapen
fear,  wasnt smiling night Everytime got heart started racing lip trembled
surprise,found followers gay coming grade school
fear,passengers looked horrified 
anger,Pissed   episode record #DVRProblems
sadness,Yes  know  regret 
joy,girl wanted much said \yes\ fell love me
sadness,realized 3000 tweet drunk tweet
fear,want guy like tells interested #firstdates
joy,Im happy right now got good news photography  Cant rly believed cried infront mah boo #happiness
joy,Break Remember best friend kid Bet mischief moment remember #LJB
joy,Lovely night   although eyeballing help  
sadness,    twitter wont let far mentions find met
sadness,day results college entrance examinations S Paulo University published find list Entering University greatest wish fact succeded caused great frustration sadness
surprise,zo voorgenomen om Josey zelf zijn te laten maken Waarom zit ik dan onder de behanglijm glitters en verf
surprise,Sister said coming home tomorrow come home home best ever
joy,2 hour ride home #someoneentertainme
joy,Todays day blue  #promised #xAyou tell alright lt3
fear,car came close hitting whilst crossing street
joy,Conveniently waking nightmare amp able sleep
fear,believe lies look eyes scared
neutral,Terrible 
neutral,Number 261 
neutral,
joy,im finally getting christmas mood :D
surprise,Dad told Im coming titans game today rain #notcool
neutral,Oh  
joy,informed short story written accepted publication
anger, m angry little boy dead wanted drive fast  
sadness,Kinda ruins day check twitter follower
anger,know  terrible   snow stop falling 
sadness,hoping Thanksgiving miracle Gary amp Verne Alas dreams crushed
joy,Oh  yes  Beautiful 
joy,Cant wait sit doctors office reception area read fix meatloaf 3 ways amp catch 1992
sadness,officially Christmastime know Christmas list :(
joy,Preparing Hamm Houten show nice talk long time friends
joy,want start closet mine :/
joy,highest grade class best answer given question (the question graded professor indicated liked answer)
anger,beginning term K100 kept handbag left handbag wardrobe lock it time found K30 stolen
joy,Swim meet tonight
joy,wait school life
neutral,Im 32 
joy,old man answered knock big face split delighted grin saw 
joy,Im Twitter Church  quit condemning yourself Speak #LOVE #Jesus thing turn around
joy,Reading Scripture grading papers drinking Starbucks fiancee
fear,answering  better check pulse breathing 
fear,Going disco wait friends separated planned meet sure going place felt conscious alone
joy,able live able shareand #Love able spread
fear,  live hour Burbank tooMaybe purchase today Fri watch
sadness,grandfathers funeral
joy,Coming point life simple choices exist anymore
sadness,Mac Miller was/is close meif car
joy,  Happy2 Olé 2b touch contrary thank 4your kindness OleampOléampOlé #cutnoart
joy,got home major class assignment already
disgust,Ew dads yard worker creep 
joy,feel like sheep sweater    
anger,vacation attend meeting day care centre Nevertheless day came called early morining ask \what going matter \ (which discussed meeting) got angry
fear,brilliant perhaps amp seek lowest common denominator #Democracy #CdnPoli #Corruption
joy,Joy matter season circumstance companyJoy goal
surprise,Check 12 Days Christmas app receive gift iTunes day 26 December 6 January #itunes
sadness,boyfriend separated
neutral,
surprise,workers profess bewilderment help  feel knowledge sexual matters insufficient doubtful capabilities sexual counselling aid  suggest raise matter training departments 
fear,left meeting  hurriedly  ended  anxious state 
joy,worst stomach pains
joy,hand  suspected FowlerThrown delighted private view Newley s collection 
joy,quotAhh Mr Vincentyour case caused lot problemsquot thanks knee consultant MRI + potential surgery
fear,Moral story little huge #advanage #pointtoprove
joy,Christmas louisville beautiful thing ever Happy feast immaculate conception people :)
fear,Torres Entrance strikes fear supporters Chelsea net hit
anger,home late father scolds makes angry
surprise,  guess happens outside bus gets shared everywhere avoiding freebie question
anger,Fuck upstairs neighbors wish holiday season suffocate death awful human beings
anger,RESPONSE
joy,Happy weekend party people happy Monday
joy,thanks nights   shoot filming blanket reunited
anger,Cry Release ORR IMMA JUSS END MAXINNNN #WHOEVA ampamp #WHEREVA
sadness,takes giving want happy #imadetherightdecision
sadness,dog died
fear,aint racist love races Im proud black u minority GOD
joy,class coming shit loads homework
joy,Currently listening Christmas music despite fact Christmas
joy,friend long time relationship union interaction year her appeared home talked
fear,filled dread anytime background info Chef fantasy players
disgust,girl fuckin  swear  hoes given away like nothin  respect
sadness,like live zoo loud actually think im going miss zooone week til
neutral,Wait sec 
disgust,Blah 4 hours work
surprise,Daniel Alfaros hero Daddy yankee
fear,gain confidence experience stop look face~ E Roosevelt
sadness,failed examinations Standard 1 experienced sad moments sat Standard 8 Examination selected Secondary School education 1978
fear,cases parliamentary disquiet ministerial proposal minister change mind 
joy,Let ’ joy ride 
fear,Afraid catch train going sweetheart
joy,Love time year Hats scarfs festive season christmas atmosphere #fun #excitement
surprise,  ik ben eigenlijk wel klaar beetje afwerken nog Ik weet wel dat ik jiet met lijm om kan gaan #Croy
surprise,end actually liked breaking dawn
anger,Oh  ’ talk night  awful evening ’ 
joy,Passed exam
sadness,Silly 
surprise,Im actually good mood change :)
joy,Screwed sleep schedule
surprise,  late reacrie maar direct gelinked   uiteraard Kom maar op
joy,  hilarious seeing run screen   went old school praise Haha
sadness,  heey Gemma à la fin du semestre :( :(
joy,  Yeah cross overI called story 1st week school
surprise,  aiiight rpz bg du 47 qui fait passer le temps en attendant le poto qui va pécho  Rime en haut après lennui
sadness,  idea screamed quotNOOOOOquot loud work tickets
joy,Knowing essays test paper shit loads reading great start week
sadness,sisterinlaw grandmother dead #teamfollowback
joy,cousin asked bridesmaid her happy adopted family asking realise saw cousin person cousins asked asked me
joy,  know suppose long theres people performing guess 12 hours
fear,know coming foreign territory black manicans store windows #iaintfromaroundhere
joy,extra early finish homework
sadness,comfort eating realise theres going Harry Potter film
joy,sub teacher colleagueshe jazzed librarys role teaching/learning
anger,saw movie block affluence poverty existed saw rich attempts help poor
anger,want sprinkle pepper chunks coffee
sadness,Im strong rock tell you break people throw down ☹
joy,Sweetpotato pie scallop potato lamb
anger,we dill itbut know ta handle it
fear,Police increasingly concerned prisoner s health weekend 
joy,time clean fire trucks
joy, cant wait come  performance amazing 
fear,Staying room midnight reading horror stories
fear,seeing terror movie cinema scared drive car garage thought film afterwards hoping things exist \real world\
sadness,RT   main people look forare ones bread name
surprise,  goh dat vind ik nog eens aardig van je Helaas moet ik er zo wel uit Moet nog aan de knutsel
disgust,slightest surprised walk school encounter Laker haters knowing commissioner too
sadness,felt home saw discussion sense parents
anger, got receipt  paid spot 
joy,  oh damn twitpic Holy crap
neutral,got 
joy,todays day find kidneys failing
sadness,hate watching movies set women rights men love
joy,love good song head  bad #happiness
anger,day class ended needed file support app update brings it
joy,  Celebrating Birthday amp droppin new album Livin life w/mad style ) Happy Birthday Xoxo #Success
anger,spread rumours me
fear,night watching airplanes cud enjoy getting enjoy watching fly sky
joy,equals Trader Joess Candy Cane JoeJoes last #ILoveChocolate
joy,like coming home finding cats emptied kitchen bin floor
joy,passed weekend boyfriend coming home Sunday afternoon met parents time
anger,’ unbearable  walk home  ’ leaving 
fear,considerable public disquiet  bugger Parkhurst panicked entire country  going lie low  
sadness,Ahh cant escape men graphic tee distressed cuffed jeans infinity scarf boot look outside work lol
fear,scared time TyBSc examination decided 1st class results afraid thinking papers be
joy,Junior Meeting today
anger,Everytime think you burning feeling inside  think  Im lettin w u
sadness,told girlfriend speaking ill  ’ real letdown 
joy,look extra disgusting today
sadness,Reliving allDocumentary driver times
anger,yarning  bored 
fear,  exact en plus  (genre quoi tes une espionne )
fear,feel certain strange surging soul feels offlimitswht do Wht say
surprise,  amen amen amennn   guess missing on
anger,Oh  shut  Roy 
anger,root even Im freakin freakin out want jump tv amp want offensive coordinator
fear,feel dreadful dreadful married colleague spent evening rubbing crotches men office
sadness,said boy like 5 times night
sadness,fingers tightened hands  hearing anguish voice 
joy,  course folks *vote* Ugg Toronto City certainly caveman charge
sadness,  Thats able extract Bojans open letter GazzettaNo comment
sadness,day cool kids class
joy,day downI closer 2 buying N9 :)
sadness,Sorry  sir  receive credit card cash 
neutral,Ho  
joy,cool mockery deep voice  turned glare  hating fact deriving amusement discomfort 
joy,rejoiced heard lets Gods house
neutral,guess 
joy,December 28th filled Joy told bosses selected attend course School Health Scienced London
joy,Elizabeth s face lit  told Martha s excitement clothes sent Tamar 
sadness,moment ur dress wont fit cause ur butts big
shame,men  women  embarrassed noises dissent 
anger, today  barbecue   Lucy hissed  suddenly infuriated  Silas Doreen 
joy,cleaned new house 3 hours today moving tomorrow
shame,Americans ashamed kind attitude 
sadness,ginger gal Subway transferred spellout order AM
surprise,  ik Miss too know liked seeing walking field :)
sadness,lonely world live
fear,cheapest room house like 2 u living better conditions~Hafiz Persia   #afraid
neutral,Oh yeah 
fear,case  fact matches theory  Mike humorous  energetic  fresh daisy  probably ambitious  frightens 
joy,understand 
sadness,Determined moms birthday great cause shell depressed dad
neutral,car run petrol 
fear,starts  Fear leads yu Failure  #Bottomline afraid Rejection fear yu Fail
sadness,  alt + 3 = hash key  enjoy cricket
surprise,asks case double check work trust right Trust people
anger,PUTTHEIRPLATEOFFOODONMYDRUMSET 
surprise,Dude im LATE  jte retrouve sur le tapis de course 
fear,awkward moment mark wahlberg stares angrily punches chest
neutral,Honey 
joy,Discussing Osbournes mini budget Economics Making Labours case   5 point plan room unpolitical students
fear,involved traffic accident
sadness,wishes   playing Im home weekend
surprise,u path laid you push urself urself amp happy
joy,  Morning good weekend had RvPs belter Stoke managed Spurs place
sadness,Im afraid cant  Parking allowed 
joy,time  m elated vices   said Mr Tyson 
joy,came contact girl liked much important liked me
anger,summer got fight patrons (at theatre) hit hit friend hit friend hit eachother
sadness,feel physically sick way ended
joy,seen brother years Spain arrived airport felt great joy
anger,came lesson cancelled fill questionnaire instead
sadness,anguished voice tailed  intensify effect 
disgust,felt letdown disgruntled 
joy,Peanut butter coffee
fear,classmates speeches getting nervous day turn drew closer closer 
anger,s human talk deal  says Legal  General s Michael Payne trace exasperation 
sadness,depressed people withdraw  sleep lot day wakeful nights 
fear,Hot5s competing Petersen Event Center tomorrow Come support them
sadness,    thats literally definition life days
joy,hear beaches Thailand beautiful 
joy,gave grandma ipad2 bought xmas :) surprised
sadness,dog ear infection taking vet now:(
surprise,Viendo   en con   wow  Yo crei saber todo de oh )
anger,people tell exgirlfriend playing me
neutral,YesMy face ached icy wind 
joy, delighted help museum extend collection   said Mr Watson 
sadness,father died
anger,kills think 5 year old video taped sex acts quot    yeah thats messed upquot
sadness,Day birthday/christmas= worst days ever
fear,  pictures tomorrow try flood timeline wont happen
fear,Oh  scared 
surprise,  Pretty sure need breed new pet squirrel offspring dad
sadness,Ive searched  earth 
sadness,liked Nickelback pretty wasted life 
joy,Figurative arts  poetry  expressed mixed feelings elation past victories fear future incursions Celts inspired 
joy,worth talking sleep try go
sadness,example  mildly depressed tired old people given amphetamines 
joy,powerful gift life love #happiness #spiritual #women #men #wisdom #empowerment #quote #life #enlightenment #peace
disgust,wish look face   listens Wait Ying Yang Twins time
sadness,High school going way fast
joy,Classes Orchestra amp Meeting Work
joy,thatLots mij wakker maakt als ik laat les heb 1 om te gan eten den ander voor de trèn om zegn dak op FS ingelogd ben
neutral,
sadness,Weehh Ricki Lake Derek lose :(
joy,Jesus said quotLet light shine men thay good works amp glorify Fatherquot
anger,sounded sympathetic  reality infuriated Doreen 
joy,December amp XMas amp BFs bday amp Air   wonderful time year #12Days
fear,cant wait future though ive wishing things im
anger,hands dart indignantly desk offended mice  opening files  annotating minutes  picking receiver 
fear,weird live rare die
fear,Raising eyes  stared horrified fascination opening door 
sadness,zombies upcoming World War Z film run
joy,kid dat born 2004 feelin Dr Dres chronic 2001 now #beer chic organized him
surprise,Excited Friday(: love best friend
joy,Hooray Woke 6:30 finished paper time ready 8:15 lol
joy,Break Angel standing you Yes amp hug #LJB
anger,coped time  years  feel guilty resentful affair 
surprise,words writing pass brain actually comprehends them
sadness,wish tiny bit artistic :/
joy,coffee man sneaky smiley face coffee cup
sadness,moment finally accept truth aint shit
surprise,Goedemorgenop de dag van de plak en knutsels Oftewel hoe genadeloos kunnen zijn naar dierbaren toe #Sint
sadness,army mania haircut και μια μέρα ακόμη σαν πολίτης
sadness,poem interlocks narrative description Mariana s sorrowful moans 
joy,found parents initially shocked finding daughter pregnant  cried  got angry  matteroffact  pleased 
sadness,Ur leaving behind lying u reply messages Id tell twitter tell u lose u
fear,remember Nextel play ringer amp Id start sweating lol   know Im talkin bout lol
sadness,candles colour represent sorrow failure love parts lives 
fear,quot  afraid tomorrow seen yesterday love today #lessquot
joy,Got Rihannas newww CD Talk Talk #happiness
anger,angry stole magazine borrowed friend locked drawer
fear,horrible dream night dreamt fallen crowded train
neutral,feel uncomfortable 
joy,wanna sit hour geology Running hours sleep study tonight
surprise,        hell yeah Lmao Im doin lol
fear,live life cuz   aint tryna stung YA FEEL
sadness,Apparently english teacheramp frnds watch kids movie ampsing week remind childhood
anger,Stupid drink machine stole dollar
fear,attacked teenage boy wallet stolen
neutral,school  ChinaThis time country 
surprise,tell flabbergasted right terrified wits 
fear,man car following went running early morning fairly secluded area
sadness,computer longer functions freezing time click
sadness,Mom  quotDo think case hold 170 pounds itquot quotMom weigh 135quot #mymomcalledmefat
fear,friend anxious welfare 
anger,stolen
joy,vacations day lecture occured buy rose mother went pub mother told getting married Spring known glad
surprise,Et lacoustique pourrie va nous obliger à changer toutes nos intentions de jeu
joy,very Physics midterm
fear,hate like lot  bout away
fear,Fear come live Nijmegen
joy,Funny warm raysin #sunshine
joy,Break Imagine shimmering waterfall clears body mind spirit Let wash you Feel release #LJB
sadness,stayed bus 
anger,Fear fingered Ruth  suppressed futile burst anger Adam 
joy,expand heart amp life today spreading you #YDB #blessing
surprise,Van Spanje tot staat een klaar gelukkig zonder aldaar Van te voren alles op een rij dat maakt je toch #blij
surprise,TELLING NAMES NIGGAS POSE GAY TOWNSHIP   YUEE
joy,quotgive months like mine prolly year :/ quot LMFAOOOOOOOOOOOOOO
joy,  heard hell that hang mixture drunken Rednecks drunker Italians day
neutral,
joy,best friend chosen English lectures
joy,Bed time hours 8 hours college
joy,Thank God car fixed public transports shit packed stinking trains freezing cold dark damp bloke heavily snoring
sadness,People turn person said wouldnt be
surprise,apparently PHGY kids secretly sent StripperGram ANAT214 female genitalia class  poor prof
anger,tweets Lindsay Lohan follow Twitter stupid bitch
anger,granddaughter s anger  like  took sting Ballater s wrath 
joy,grandmas 2 half hours:|
joy,  follow charitable organization   kids amp #MAGIC cards #17giveback
joy,highlight tournament  irrespective performance field  SOUTH AFRICA s emergence woods  coming cold generating great excitement 
neutral, 
neutral,disagreement director  ’ worked  ’ disagreed friendly way resolved differences  movie  ’
joy,School coming up guess Ill start preparing myself
surprise,test today kicked ass
joy,adore art amp history art teachers
joy,Work soooo slow ready great saturday
joy,delight pushing  making worse 
joy,time post Conservative Tweets row lose followers know that Good riddance
joy,finally got job days wondering hired counting money bring
anger, DVD PLAYER WORK PROPERLY #HitTheDvdPlayer
surprise,Ashton Kutcher divorce thing getting me Hes supposed cute dork disgusting douche
joy,Esta bien exagere con el lesbianismo   jajaja Pero remite un trailer super equipado 1 kg de tortilla
joy,welllllp free day/night tomorrow serving greedy asses fridaysunday
joy,red wine trash tv
disgust,watched interview jerry sandusky BS 20 people didnt lie u raping kid
joy,Daily argument mum brother
sadness,felt little downcast point  evening feel encouraged prospects d felt time 
joy,Finally home Time sleep work :(
joy,Taking Nana Christmas Shopping
joy,International sports events favourite national team player brings joy eg India World cup cricket match
joy,Detention MrsWilcox tomorrow
joy,Got serve Thanksgiving dinner little girl Thanksgiving meal before
joy,Church amp brunch fam mt pleazy study life away
fear,Test grandeur nature des nouveaux horaires de la Je suis tout peur
sadness,  gotta work Victoria secret body
joy,tomorrow begins hell week sleeping week basically
joy,  Thank beautiful inspiring thoughtful necklace card incredible means world me
sadness,happiest girl world cuz BET :3 Im sad:(
surprise,wait reveal special outfit   Christmas
disgust,think seen all man sit overground flosses teeth pleasure 
surprise,Sleepin job  Gets tap shoulder  Lifts head amp says quotAMENquot  LOL
joy,Gotta clean carfix phone screenampget Christmas shopping todays agenda
joy,Anna hanging Bailey Bunch U volleyball game
joy,kalibata mall Dinner interior designer (project room ES #sob)
surprise,Unlocked house door kitten sitting living room #socute #whereyafrom
anger,fatpig like kenny roll pool syrupThen lock cage sun Let red ants bite him
sadness,5 hour choir practice No really #bestbeawesome
joy,time tackle ubc application
joy,OPEN good life   #faith
joy,Day yesterday mother bought new pair shoes asked them told saw pair shoes felt like buying me liked shoes feel mother cares me
joy,  Decorating Christmas stuffs tree look beautiful 
joy,sissy law cooking day 
sadness, popular story heartbroken ran join religious order  ordained  
anger,#SAD #LONELY find profile enjoy  
neutral,
surprise,Lmao RT   clicked link thinking gonna foodit me #lol
surprise,IDC Marry Night easily best song released year #popoverindie #gagaoverm83
sadness,  suppose moving closer anytime soon
anger,holiday cottage association pals came wake early morning bringing radio played highest volume room  morning service loudest
joy,learned content situation amp thank God peace surpasses understanding
fear,feel anxious getting lot seeds sown doors 
anger,got carried away  fool  laughing 
sadness,rate air quality today F point value 100 Yeah bad today
joy,time excited house matches school matches events earnest aggressiveness 
fear,God shine grace mercy oddly looking lady thats cut hair Great Clips
joy,GTL  Gym teaching long shift work
disgust,screening cancelled way simultaneous screen  Screw Vue #breakingyawn
fear,Entering railway station toilets sense trepidation feel taking seat home end away fixture
fear,watching movie  horror movie music deep pulsing type  music light flashed off complete darkness movie theatre empty
fear,people  nervous little town prime nuclear target  nervous getting closer look cause fears question easily answered 
joy,hug love
surprise,got galfrend coz ddnt invite party dope
neutral,
joy,awesome night :) history paper weekend
sadness,Prince Wales  depressed thought ordeal come  cheered sight food 
disgust,situation best thing hardest thing do Smh
sadness,  was heck man miss it Haha  guys need reunion :)
fear,   qui se définit comme Friend Israeli soldier Mossad agent qui follow sur twitter #9FARET
disgust,Oo week History group sat court case child abuse mother got 6 years amp boyfriend got 4 half
fear,“  afraid tomorrow seen yesterday love today #less”
anger, despite annoyance seeded No2 Baddeley present No1  declined labour point 
anger,class leader told chosen English lectures
disgust,kid farted taking test
neutral,
joy,nap 8830cant sleep wake track meet 6 hours
joy,basketball games day lil brothers
fear,Rachel mother looked agitated 
